Taxon	No	Yes
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;Other	0.000180012517418	6.0836184984e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus	2.30019764058e-05	1.4498683607e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter	0.000823185775089	0.000396564496848
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.00650793086434	0.0204790627351
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other;Other	4.81752308204e-06	3.78860074152e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__	6.78524377752e-07	1.16572330508e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	7.9387352197e-06	8.23292084214e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	6.78524377752e-08	7.28577065676e-08
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella	6.78524377752e-07	3.49716991525e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__	0.0	3.64288532838e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	1.3570487555e-07	7.28577065676e-08
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;Other	7.46376815528e-07	8.01434772244e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	4.74967064427e-07	8.74292478812e-07
k__Bacteria;p__SR1;c__;o__;f__;g__	0.0169198195885	0.00518105722944
k__Bacteria;p__Spirochaetes;Other;Other;Other;Other	4.74967064427e-07	2.91430826271e-07
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta	6.32384720065e-05	2.73216399629e-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.00210322201372	0.00121242509499
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter	4.35612650517e-05	1.11472291048e-05
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__TG5	0.000115959816158	0.0001131480183
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__	9.49934128853e-07	2.91430826271e-07
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Candidatus Tammella	1.15349144218e-06	2.4771620233e-06
k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__	0.00824963508959	0.00681627559564
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__;g__	2.04235837703e-05	8.01434772244e-06
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__	5.68603428557e-05	8.52435166841e-06
k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045;g__	0.000616778659377	0.000196424376906
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma	5.42819502202e-07	3.64288532838e-07
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0.000538409093747	0.00116557758967
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma	6.17457183755e-06	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__	0.00010978524432	0.000145059693776
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__;g__	5.02786563915e-05	2.49901933527e-05
