	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_236110_1.txt	236110	1	26.2433	23.38294	26.54858	30.93817	25.77157	27.29542	26.4503	26.331	25.70334	28.57395	24.40274	34.19765	19.70504	28.21455	22.4868	30.72798	26.50352	33.82501	29.84458	29.5294	28.73485	22.25335	31.37507	21.599	20.13697	28.6819	23.57405	35.38215	29.19155	20.36758
alpha_rarefaction_236110_2.txt	236110	2	26.0668	23.32957	27.11656	30.85108	25.66223	27.42582	26.31715	26.82177	24.86089	28.79389	24.67333	33.88171	19.73122	26.63655	22.83045	30.62729	26.23687	33.44766	29.97359	30.08656	28.58406	21.84905	31.21367	21.90011	20.53484	28.4077	23.71628	35.52101	29.32451	20.47937
alpha_rarefaction_236110_3.txt	236110	3	26.10029	22.76453	27.13097	30.56008	25.59435	27.06996	26.21391	26.00448	25.04488	27.88818	23.95115	33.69318	20.05406	26.77541	22.07074	30.87906	26.13006	32.77458	30.03554	29.61634	28.91409	21.92376	30.98278	21.21511	20.83447	28.54745	24.3985	34.70064	29.54461	20.57404
alpha_rarefaction_236110_4.txt	236110	4	25.85525	23.21195	26.91961	30.44871	25.58825	27.66251	26.85311	26.67041	24.1002	28.97352	25.08069	34.77736	19.80607	27.38944	21.8493	31.03545	26.19137	33.21403	29.83045	29.20677	29.03059	22.14061	31.25367	21.29749	20.39859	28.77198	24.85861	35.09379	29.49161	20.67409
alpha_rarefaction_236110_5.txt	236110	5	26.17153	22.99548	26.59522	31.12953	25.72075	27.07687	26.11402	27.55622	25.33156	28.62627	24.62937	33.79704	19.64077	27.45252	22.09159	30.57016	25.8626	33.89538	29.36603	29.46873	29.21995	22.166	31.04472	22.22579	20.58277	28.00645	24.56726	35.3465	29.75252	20.65308
alpha_rarefaction_236110_6.txt	236110	6	26.57703	22.79488	26.78871	30.27302	25.56543	27.64751	26.7147	26.53345	24.80142	28.35962	24.5238	33.84817	19.92356	27.45167	23.12219	30.74055	26.39044	34.09847	29.29902	29.87889	29.44372	21.81754	30.99665	22.03786	20.44187	29.02284	24.11022	34.07627	29.82355	20.6628
alpha_rarefaction_236110_7.txt	236110	7	26.61434	23.33097	27.13132	29.95279	24.95481	27.04337	26.54405	27.43934	25.02331	28.56318	24.80115	33.83598	19.52923	27.15445	21.72953	30.82646	25.19935	33.29425	30.52048	30.25974	28.49073	21.68926	30.96561	21.71621	20.63628	28.3015	24.06804	33.86784	28.75852	21.02918
alpha_rarefaction_236110_8.txt	236110	8	25.94059	23.48605	26.77668	31.24263	25.03593	27.58933	26.18673	26.61947	24.70533	28.06449	24.74393	33.79261	20.10489	27.90744	22.17579	31.12429	25.38093	33.04223	29.43495	29.55657	28.87448	22.23293	31.75456	21.8355	20.14395	28.93488	24.93061	35.77611	29.06608	20.88804
alpha_rarefaction_236110_9.txt	236110	9	26.06134	23.25964	26.80918	30.98762	25.76208	27.39509	26.25575	27.20396	25.25244	27.77101	24.88562	33.1591	19.50739	27.80555	23.30543	30.69802	26.13585	33.01653	29.22856	29.95639	28.94641	21.58274	31.79571	22.15454	19.8121	28.19438	23.295	35.2276	29.83107	20.4667
alpha_rarefaction_275460_0.txt	275460	0	26.88747	23.18437	27.80737	31.10283	25.56234	27.14069	26.76193	26.66159	25.79902	28.28107	25.20857	34.13193	20.06969	27.81576	23.50055	31.11082	27.00089	33.35467	30.0935	30.69647	28.70448	22.12802	31.35523	21.79605	20.97193	28.6373	25.69085	35.38103	29.80952	20.04403
